game,eta,n_train,method,sample,error
0,0.0,2,SUB,59,0.9077985731940456
0,0.0,2,SUB,60,0.21700170966887786
0,0.0,2,SUB,61,0.46755510929127064
0,0.0,2,SUB,62,0.3388002044062204
0,0.0,2,SUB,63,0.6927352809084861
0,0.0,2,SUB,64,0.9539763931415927
0,0.0,2,SUB,65,0.8179882760114431
0,0.0,2,SUB,66,0.7148068557089164
0,0.0,2,SUB,67,0.8763537678102322
0,0.0,2,VI,0,0.7870907085237184
0,0.0,2,VI,1,0.5985045796071173
0,0.0,2,VI,2,0.8285114698230898
0,0.0,2,VI,3,0.6115834811111553
0,0.0,2,VI,4,0.8350854246723342
0,0.0,2,VI,5,0.41260649916195186
0,0.0,2,VI,6,0.7667950921614299
0,0.0,2,VI,7,0.04081582888374899
0,0.0,2,VI,8,0.8101266588076622
0,0.0,2,VI,9,0.13210257193500183
0,0.0,2,VI,10,0.7329517399208244
0,0.0,2,VI,11,0.8801047214996538
0,0.0,2,VI,12,0.6997718750764335
0,0.0,2,VI,13,0.804790957560439
0,0.0,2,VI,14,0.4930887496437774
0,0.0,2,VI,15,0.8232668018014012
0,0.0,2,VI,16,0.3744880437332938
0,0.0,2,VI,17,0.316822099131126
0,0.0,2,VI,18,0.4353231931237653
0,0.0,2,VI,19,0.7054988270144759
0,0.0,2,VI,20,0.6311504260276418
0,0.0,2,VI,21,0.21570917759975589
0,0.0,2,VI,22,0.42951097573485997
0,0.0,2,VI,23,0.8237120320072195
0,0.0,2,VI,24,0.7806608100432856
0,0.0,2,VI,25,0.6098264960338287
0,0.0,2,VI,26,0.7498944140020173
0,0.0,2,VI,27,0.9060299238414102
0,0.0,2,VI,28,0.17341422266219725
0,0.0,2,VI,29,0.748689692130534
0,0.0,2,VI,30,0.5518247894713453
0,0.0,2,VI,31,0.8507250327819634
0,0.0,2,VI,32,0.8842348556305799
0,0.0,2,VI,33,0.5079577392285618
0,0.0,2,VI,34,0.855276751115818
0,0.0,2,VI,35,0.44947228299138475
0,0.0,2,VI,36,0.6061197732322879
0,0.0,2,VI,37,0.31066653973702557
0,0.0,2,VI,38,0.13203373982316782
0,0.0,2,VI,39,0.2325929342808106
0,0.0,2,VI,40,0.42286838652977393
0,0.0,2,VI,41,0.827094222242773
0,0.0,2,VI,42,0.2542064276864116
0,0.0,2,VI,43,0.6116627836135959
0,0.0,2,VI,44,0.6866937942665537
0,0.0,2,VI,45,0.6405337373600879
0,0.0,2,VI,46,0.1451809719325906
0,0.0,2,VI,47,0.4049653648484343
0,0.0,2,VI,48,0.36091558292639647
0,0.0,2,VI,49,0.14386391935067055
0,0.0,2,VI,50,0.7830995972873541
0,0.0,2,VI,51,0.8573001560647548
0,0.0,2,VI,52,0.08573215793003149
0,0.0,2,VI,53,0.6472276641713561
0,0.0,2,VI,54,0.604753428992452
0,0.0,2,VI,55,0.18108375971685153
0,0.0,2,VI,56,0.8064502736412785
0,0.0,2,VI,57,0.6254855816803992
0,0.0,2,VI,58,0.6975258360139001
0,0.0,2,VI,59,0.8849182624128709
0,0.0,2,VI,60,0.2208496504058402
0,0.0,2,VI,61,0.5053396166434394
0,0.0,2,VI,62,0.3081651502993087
0,0.0,2,VI,63,0.696976310135394
0,0.0,2,VI,64,0.9142953046157152
0,0.0,2,VI,65,0.8075236372268995
0,0.0,2,VI,66,0.7047625249672378
0,0.0,2,VI,67,0.8625422677956837
0,0.0,5,SUB,0,0.11137395775054516
0,0.0,5,SUB,1,0.03403319941178289
0,0.0,5,SUB,2,0.041491276984476765
0,0.0,5,SUB,3,0.03714754937303861
0,0.0,5,SUB,4,0.1326428922106093
0,0.0,5,SUB,5,0.03411230945795036
0,0.0,5,SUB,6,0.03642009761569493
0,0.0,5,SUB,7,0.10426056349783325
0,0.0,5,SUB,8,0.02589089963567795
0,0.0,5,SUB,9,0.08255553470801286
0,0.0,5,SUB,10,0.02801076262140497
0,0.0,5,SUB,11,0.02946426192058471
0,0.0,5,SUB,12,0.09122890988079148
0,0.0,5,SUB,13,0.017289337263847793
0,0.0,5,SUB,14,0.02652650110926549
0,0.0,5,SUB,15,0.03141069710992091
0,0.0,5,SUB,16,0.08973631233210304
0,0.0,5,SUB,17,0.04161182397427149
