game,eta,method,test_median,theta_err,time,mu,L,lambda_min_M
7,0.05,VI,1.871784386048907,0.9919585900495199,0.05712583300191909,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.1,SUB,0.07880228894731321,0.3390147304488975,1.0446190419897903,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.1,VI,1.9430359148784853,0.9968371634471557,0.050338834000285715,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.3,SUB,0.13702248229381403,0.3464036235070086,1.0987577910127584,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.3,VI,1.9293047409635415,0.9968364706441378,0.054365208983654156,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.5,SUB,0.18726338437332807,0.36787237105388804,1.0475164169911295,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.5,VI,1.9219304815169882,0.9968308593791168,0.05310258298413828,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.7,SUB,0.2416608971560744,0.4071500638886069,1.0538167500053532,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.7,VI,1.9096840519851341,0.9968357867903073,0.0553628750203643,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.9,SUB,0.28115232032901516,0.44479383273394335,1.046806625003228,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,0.9,VI,1.9571680117909396,0.9968372244895144,0.058806999993976206,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,1.0,SUB,0.23464431167312033,0.46411478406560397,1.0466081670019776,0.7472067491507872,1.7296399378953091,0.25506892584942825
7,1.0,VI,1.9282675067852837,0.9968364364157487,0.05058737500803545,0.7472067491507872,1.7296399378953091,0.25506892584942825
8,0.0,SUB,0.027943340047875888,0.36554331982518606,1.0428314580058213,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.0,VI,1.8719203415867753e-07,0.3320586216287683,0.046230875013861805,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.01,SUB,0.03254693363964324,0.36514189774472217,1.0768022499978542,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.01,VI,0.0070639204167025176,0.6784328197232024,0.060790374991483986,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.05,SUB,0.03454806572525382,0.3663739958355736,1.08228883400443,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.05,VI,1.8764808480662365,1.0258647831387033,0.05617954200715758,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.1,SUB,0.07576986767583889,0.37078397744624625,1.0522164589783642,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.1,VI,1.9789742490270443,1.0319734655689805,0.050331125006778166,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.3,SUB,0.12869020915908325,0.3867105376363337,1.0487130420224275,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.3,VI,2.05995418915581,1.0319662448858353,0.05049029199290089,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.5,SUB,0.15426057190884068,0.39998358035345866,1.0481757920060772,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.5,VI,2.0698096230924627,1.031965296290693,0.05189766699913889,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.7,SUB,0.20400195391117998,0.42794194155238635,1.0445664169965312,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.7,VI,2.0865230193458015,1.0319728648064623,0.05670383301912807,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.9,SUB,0.2885846267375155,0.5044478963258257,1.0523230410180986,0.8282696532658744,1.638500124604724,0.2513449581308423
8,0.9,VI,1.9943038112972413,1.031970796864447,0.04345820800517686,0.8282696532658744,1.638500124604724,0.2513449581308423
8,1.0,SUB,0.29770062194954233,0.5210341807240298,1.0507397500041407,0.8282696532658744,1.638500124604724,0.2513449581308423
8,1.0,VI,2.0668213868822987,1.0319626734303813,0.04283716602367349,0.8282696532658744,1.638500124604724,0.2513449581308423
9,0.0,SUB,0.03943848291165665,0.32444856955561807,1.0469560420024209,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.0,VI,3.691287970348829e-07,0.2716014570600513,0.044773834000807256,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.01,SUB,0.037589243419917706,0.3250177423976045,1.047196041996358,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.01,VI,0.00778469967492935,0.6248103370973108,0.0582821250136476,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.05,SUB,0.041832432640832834,0.32711756491866717,1.0443711249972694,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.05,VI,2.1047003166395886,0.9786572325858255,0.058179291983833537,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.1,SUB,0.06971620727220154,0.330050137515332,1.0400323749927338,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.1,VI,2.0552995472403897,0.9786573352824554,0.0532474999781698,0.7537769651491272,1.687927258649888,0.2639968432315767
9,0.3,SUB,0.12440340401334449,0.342272164393114,1.041583833983168,0.7537769651491272,1.687927258649888,0.2639968432315767
