game,eta,method,sample,error
0,0.5,VI,27,2.1826366143680525
0,0.5,VI,28,2.2680328182565197
0,0.5,VI,29,2.0527627703476745
0,0.5,VI,30,2.0563934099622827
0,0.5,VI,31,1.8557418962041137
0,0.5,VI,32,2.018798781810648
0,0.5,VI,33,1.7944513208942716
0,0.5,VI,34,2.406093721361037
0,0.5,VI,35,2.08366195254637
0,0.5,VI,36,2.0129080296911397
0,0.5,VI,37,2.0652281359503952
0,0.5,VI,38,2.553153225009087
0,0.5,VI,39,2.061682480510965
0,0.5,VI,40,1.8654509266188957
0,0.5,VI,41,2.2409838012560575
0,0.5,VI,42,2.116302443037908
0,0.5,VI,43,1.7023327338409047
0,0.5,VI,44,1.627516637178392
0,0.5,VI,45,2.2488732843936785
0,0.5,VI,46,1.9409114267157237
0,0.5,VI,47,1.4011317656459867
0,0.5,VI,48,1.953622905931925
0,0.5,VI,49,2.0289726398471037
0,0.7,SUB,0,0.22233579180678767
0,0.7,SUB,1,0.29540253219390733
0,0.7,SUB,2,0.2471380317528367
0,0.7,SUB,3,0.28029113760598784
0,0.7,SUB,4,0.24376638182728233
0,0.7,SUB,5,0.20920356278624222
0,0.7,SUB,6,0.19941253924684912
0,0.7,SUB,7,0.2725844563944288
0,0.7,SUB,8,0.2562028430567422
0,0.7,SUB,9,0.34274246174119477
0,0.7,SUB,10,0.2687539271373373
0,0.7,SUB,11,0.23400550002352066
0,0.7,SUB,12,0.2965377424749268
0,0.7,SUB,13,0.2741489845431251
0,0.7,SUB,14,0.2773548921242837
0,0.7,SUB,15,0.2412439791074305
0,0.7,SUB,16,0.24044805733584293
0,0.7,SUB,17,0.2957928015419334
0,0.7,SUB,18,0.28119518372992475
0,0.7,SUB,19,0.26835563370346305
0,0.7,SUB,20,0.25518490438011804
0,0.7,SUB,21,0.24908222331084437
0,0.7,SUB,22,0.2721765356248898
0,0.7,SUB,23,0.3436881483882555
0,0.7,SUB,24,0.30220232997079943
0,0.7,SUB,25,0.25815851495215897
0,0.7,SUB,26,0.2613879355047268
0,0.7,SUB,27,0.2729088492545948
0,0.7,SUB,28,0.29188661415794687
0,0.7,SUB,29,0.19287586610942767
0,0.7,SUB,30,0.24371640613804324
0,0.7,SUB,31,0.24726424503862418
0,0.7,SUB,32,0.2038524355446055
0,0.7,SUB,33,0.2727093167740008
0,0.7,SUB,34,0.19725043339260634
0,0.7,SUB,35,0.2757947660974076
0,0.7,SUB,36,0.2707889597740717
0,0.7,SUB,37,0.23422560372627052
0,0.7,SUB,38,0.27483604722895894
0,0.7,SUB,39,0.2560929038269699
0,0.7,SUB,40,0.22156242517956493
0,0.7,SUB,41,0.22048640542349737
0,0.7,SUB,42,0.15487384743673338
0,0.7,SUB,43,0.32476656392581127
0,0.7,SUB,44,0.28617766043656623
0,0.7,SUB,45,0.2620830834825471
0,0.7,SUB,46,0.3097947076060405
0,0.7,SUB,47,0.20612566161509557
0,0.7,SUB,48,0.23278106018053168
0,0.7,SUB,49,0.27259728874805134
0,0.7,VI,0,1.771218357631594
0,0.7,VI,1,1.4902601392174661
0,0.7,VI,2,1.7023511692350868
0,0.7,VI,3,1.56361844120164
0,0.7,VI,4,2.0746250472050014
0,0.7,VI,5,1.8654594185951832
0,0.7,VI,6,1.953695546874949
0,0.7,VI,7,1.7248981210931535
0,0.7,VI,8,2.1826094346881955
0,0.7,VI,9,2.0811163262835763
0,0.7,VI,10,2.1269352372137567
0,0.7,VI,11,2.249001326006409
0,0.7,VI,12,2.002950448080436
0,0.7,VI,13,2.2746722128067582
0,0.7,VI,14,2.553194179683413
0,0.7,VI,15,2.070081404366048
0,0.7,VI,16,1.957902849100481
0,0.7,VI,17,2.0187799723283564
0,0.7,VI,18,1.6226191404131012
0,0.7,VI,19,2.0878878796105447
0,0.7,VI,20,1.8681589171904402
0,0.7,VI,21,2.116367458390036
0,0.7,VI,22,2.083700798810434
0,0.7,VI,23,1.1946962580496887
0,0.7,VI,24,2.616661707372982
0,0.7,VI,25,2.0564207734054705
0,0.7,VI,26,1.740804793448378
